,Model Type,Number_of_PCA_Components,Accuracy,Precision,Recall,F1 Score
0,Decision Tree Classifier,1,0.8394,0.8390612667590244,0.8394,0.8392223715314142
1,Decision Tree Classifier,2,0.8378333333333333,0.8405852155219035,0.8378333333333333,0.8391482119036799
2,Decision Tree Classifier,3,0.8387,0.8414269590527382,0.8387,0.8400004580233694
3,Decision Tree Classifier,4,0.8331333333333333,0.8405860310653513,0.8331333333333333,0.8363507959703811
4,Decision Tree Classifier,5,0.8304333333333334,0.8410698598719842,0.8304333333333334,0.8347832268041976
5,Decision Tree Classifier,6,0.8376333333333333,0.8403704057035308,0.8376333333333333,0.8388837701755862
6,Decision Tree Classifier,7,0.8274666666666667,0.8407291202745687,0.8274666666666667,0.8328267462158591
7,Decision Tree Classifier,8,0.8255333333333333,0.8386708157383647,0.8255333333333333,0.8308124854419715
8,Decision Tree Classifier,9,0.8324666666666667,0.8393618069464741,0.8324666666666667,0.8354419440920743
9,Decision Tree Classifier,10,0.8348666666666666,0.839887563998622,0.8348666666666666,0.8371009095316807
