,Model Type,Number_of_PCA_Components,n_estimators,Accuracy,Precision,Recall,F1 Score
0,Random Forest Classifier,1,10,0.8450666666666666,0.8406029768743966,0.8450666666666666,0.8426624775075726
1,Random Forest Classifier,1,20,0.8428,0.8410886931917594,0.8428,0.8419204352856475
2,Random Forest Classifier,1,30,0.8425333333333334,0.8415219657833632,0.8425333333333334,0.8420183581214263
3,Random Forest Classifier,1,40,0.8420333333333333,0.8415947569558114,0.8420333333333333,0.8418116468018144
4,Random Forest Classifier,1,50,0.8418333333333333,0.8415159143152243,0.8418333333333333,0.8416730839744175
5,Random Forest Classifier,2,10,0.8617666666666667,0.8426163480950737,0.8617666666666667,0.8489722647399895
6,Random Forest Classifier,2,20,0.8624666666666667,0.8409178754180786,0.8624666666666667,0.8480503313476958
7,Random Forest Classifier,2,30,0.8634333333333334,0.8410851508301516,0.8634333333333334,0.848417026086899
8,Random Forest Classifier,2,40,0.8633333333333333,0.8409686848157168,0.8633333333333333,0.8482194793836766
9,Random Forest Classifier,2,50,0.8635333333333334,0.8411651669556448,0.8635333333333334,0.8482820195529225
10,Random Forest Classifier,3,10,0.8656666666666667,0.8389845334119855,0.8656666666666667,0.8467887180202058
11,Random Forest Classifier,3,20,0.8722666666666666,0.8409058447477262,0.8722666666666666,0.8482810324751641
12,Random Forest Classifier,3,30,0.8725,0.839358475200955,0.8725,0.8470926257056534
13,Random Forest Classifier,3,40,0.8735666666666667,0.8395751449437288,0.8735666666666667,0.8474133179986516
14,Random Forest Classifier,3,50,0.8747333333333334,0.8407388311857071,0.8747333333333334,0.847676089268867
15,Random Forest Classifier,4,10,0.8666666666666667,0.840461218653009,0.8666666666666667,0.8477824953216796
16,Random Forest Classifier,4,20,0.8734333333333333,0.8411497821729894,0.8734333333333333,0.8475307873925015
17,Random Forest Classifier,4,30,0.8762333333333333,0.8395241909300496,0.8762333333333333,0.8464974978172317
18,Random Forest Classifier,4,40,0.8781,0.8395817346257749,0.8781,0.8460074038035502
19,Random Forest Classifier,4,50,0.8792,0.840003630278743,0.8792,0.8454817575510901
