,Model Type,Number_of_PCA_Components,Accuracy,Precision,Recall,F1 Score
0,SVM Classifier,1,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
1,SVM Classifier,2,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
2,SVM Classifier,3,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
3,SVM Classifier,4,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
4,SVM Classifier,5,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
5,SVM Classifier,6,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
6,SVM Classifier,7,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
7,SVM Classifier,8,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
8,SVM Classifier,9,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
9,SVM Classifier,10,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
